"year","month_name","month_number","order_count"
"2017","Jan","1","283"
"2018","Jan","1","6597"
"2017","Feb","2","1351"
"2018","Feb","2","5850"
"2017","Mar","3","2382"
"2018","Mar","3","6824"
"2017","Apr","4","1849"
"2018","Apr","4","7850"
"2017","May","5","3751"
"2018","May","5","7111"
"2017","Jun","6","3223"
"2018","Jun","6","6829"
"2017","Jul","7","3455"
"2018","Jul","7","5839"
"2017","Aug","8","4302"
"2018","Aug","8","8314"
"2017","Sep","9","3965"
"2018","Sep","9","56"
"2016","Oct","10","205"
"2017","Oct","10","4494"
"2018","Oct","10","3"
"2016","Nov","11","58"
"2017","Nov","11","4670"
"2016","Dec","12","4"
"2017","Dec","12","7205"
