"customer_state","total_revenue"
"SP","5768518.23"
"RJ","2055401.57"
"MG","1818891.67"
"RS","861278.79"
"PR","781708.80"
"SC","595127.78"
"BA","591137.81"
"DF","346123.35"
"GO","334212.35"
"ES","317657.93"
"PE","308972.05"
"CE","266436.77"
"PA","212023.57"
"MT","181224.42"
"MA","147803.55"
"PB","137838.55"
"MS","134367.55"
"PI","105178.19"
"RN","100714.78"
"AL","94172.49"
"SE","70289.13"
"TO","60007.37"
"RO","56966.00"
"AM","27585.47"
"AC","19575.33"
"AP","16141.81"
"RR","9039.52"
